Year,Hour,Ttb,DayTime,Month,Day,Tmin,Tmax,Lm,Ang
2017,10,21.9,8,1,1,17.6,27.3,0.01,81070 
2017,10,23.2,2,1,2,20.1,28.1,0.01,72944 
2017,9,22.9,3,1,3,20.3,27.1,0.01,100065 
2017,10,22.4,4,1,4,18.1,27.9,0.01,83777 
2017,10,21.7,5,1,5,16.1,27.2,0.01,81355 
2017,10,22.8,6,1,6,20.3,28.2,0.01,76814 
2017,15,21.3,7,1,7,16.1,28.2,0.01,75731 
2017,9,21.7,8,1,8,17.1,28.7,0.01,78395 
2017,9,21.4,2,1,9,16.8,28.1,0.01,84767 
2017,9,20.3,3,1,10,15.5,27.2,0.01,77491 
2017,10,21.0,4,1,11,16.1,28.5,0.01,83650 
2017,10,20.9,5,1,12,16.1,28.6,0.01,76995 
2017,8,21.7,6,1,13,16.1,29.4,0.01,72074 
2017,15,22.3,7,1,14,21.1,26.0,1,67706 
2017,11,22.7,8,1,15,21.1,26.7,0.01,71378 
2017,15,23.9,2,1,16,21.5,28.2,0.01,92291 
2017,10,22.5,3,1,17,19.3,27.9,0.01,87894 
2017,10,22.6,4,1,18,17.1,28.7,0.01,105457 
2017,10,21.1,5,1,19,15.1,29.4,0.01,113716 
2017,10,21.9,6,1,20,16.1,28.2,0.01,120881 
2017,20,21.8,7,1,21,17.3,26.8,0.01,120709 
2017,10,21.6,8,1,22,19.1,25.3,0.01,133660 
2017,10,21.5,2,1,23,17.7,26.3,0.01,133730 
2017,10,21.8,3,1,24,16.7,28.5,0.01,109663 
2017,11,22.2,4,1,25,17.5,29.2,0.01,109011 
2017,11,22.1,5,1,26,20.1,26.2,0.01,93020 
2017,10,19.8,6,1,27,15.1,26.0,0.01,82844 
2017,18,18.5,7,1,28,11.1,27.0,0.01,70850 
2017,18,19.5,8,1,29,13.2,29.0,0.01,73361 
2017,18,20.9,2,1,30,15.2,28.5,0.01,80330 
2017,17,20.4,3,1,31,14.1,28.3,0.01,110847 
2017,11,22.8,4,2,1,17.6,29.1,0.01,138598 
2017,17,24.1,5,2,2,22.3,28.2,0.01,151235 
2017,10,23.9,6,2,3,21.3,27.5,0.01,166325 
2017,14,24.6,7,2,4,19.4,30.8,0.01,172020 
2017,10,22.1,8,2,5,16.4,30.0,0.01,176187 
2017,10,18.4,2,2,6,11.2,29.3,0.01,169714 
2017,11,19.0,3,2,7,11.3,30.3,0.01,111814 
2017,10,21.0,4,2,8,13.8,31.5,0.01,83112 
2017,15,21.3,5,2,9,15.1,30.0,0.01,120783 
2017,11,21.7,6,2,10,16.1,28.7,0.01,153357 
