Năm,Giờ,Ttb,thứ,Tháng,Ngày,Tmin,Tmax,Lm,Angay_hc,Angay_hc,,,Pmax_hc,Amax_hc,Ptb,Atb,Pmax,Amax,A/2,Pmax,"Train, Valid, Test",,,,,,,,,,,
2017,10,21.9,8,1,1,17.6,27.3,0.01,81070,81070,,,3634,81070,641.73,497.28,994.6,497.28,497.28,1212.4,inputs,B2 (01/01/2017) : H912 (30/06/2019) ,,,,,,,,,,
2017,10,23.2,2,1,2,20.1,28.1,0.01,72944,72944,,,5547,72944,725.33,642.55,1285.1,642.55,642.55,1256.7,targets,I2 (01/01/2017) : I912 (30/06/2019) ,,,,,,,,,,
2017,9,22.9,3,1,3,20.3,27.1,0.01,100065,100065,,,4830,100065,746.16,592.65,1185.3,592.65,592.65,1248.0,,,,,,,,,,,,
2017,10,22.4,4,1,4,18.1,27.9,0.01,83777,83777,,,5432,83777,807.31,679.05,1358.1,679.05,679.05,1256.0,,,,,,,,,,,,
2017,10,21.7,5,1,5,16.1,27.2,0.01,81355,81355,,,4964,81355,744.59,619.55,1239.1,619.55,619.55,1231.1,divideind,,,,,,,,,,,
2017,10,22.8,6,1,6,20.3,28.2,0.01,76814,76814,,,3930,76814,733.12,608.00,1216.0,608.00,608.00,1224.2,train,đ1,,,,,1:366,,,,,
2017,15,21.3,7,1,7,16.1,28.2,0.01,75731,75731,,,4592,75731,754.37,620.80,1241.6,620.80,620.80,1229.6,,đ2,,,,,457:731,,,,,
2017,9,21.7,8,1,8,17.1,28.7,0.01,78395,78395,,,5333,78395,733.71,612.50,1225.0,612.50,612.50,1220.4,,đ3,,,,,822:912,,,,,
2017,9,21.4,2,1,9,16.8,28.1,0.01,84767,84767,,,4753,84767,752.56,616.95,1233.9,616.95,616.95,1202.4,Valid,,,,,,367:456,,,,,
2017,9,20.3,3,1,10,15.5,27.2,0.01,77491,77491,,,4558,77491,755.31,602.25,1204.5,602.25,602.25,1212.4,Test,,,,,,732:831,,,,,
