,day,avg_energy,humidity,windSpeed,temperatureMax,holiday_ind
0,2011-11-23,6.952692315384616,0.93,2.04,10.36,0
1,2011-11-24,8.536479996,0.89,4.04,12.93,0
2,2011-11-25,9.499781246875004,0.79,5.02,13.03,0
3,2011-11-26,10.267707309756096,0.81,5.75,12.96,1
4,2011-11-27,10.850804892682925,0.72,5.48,13.54,1
5,2011-11-28,9.103381814545456,0.86,2.34,12.58,0
6,2011-11-29,9.274873023809528,0.82,6.48,13.47,0
7,2011-11-30,8.81351315789473,0.78,4.43,11.87,0
8,2011-12-01,9.227706527173915,0.82,2.57,12.15,0
9,2011-12-02,10.145910005000005,0.87,3.0,8.07,0
10,2011-12-03,10.780272729090905,0.79,5.42,11.42,1
11,2011-12-04,12.163127274545445,0.82,4.31,9.11,1
12,2011-12-05,10.609714288888886,0.77,5.57,6.87,0
13,2011-12-06,11.67341666666667,0.83,4.79,6.91,0
14,2011-12-07,10.889361845394735,0.68,7.06,9.02,0
15,2011-12-08,11.52514969880239,0.81,7.01,12.89,0
16,2011-12-09,11.75983695489131,0.71,5.65,7.68,0
17,2011-12-10,12.633800992537314,0.81,3.08,6.08,1
18,2011-12-11,13.749174137313439,0.88,3.94,8.59,1
19,2011-12-12,11.951958332407404,0.84,5.02,9.82,0
20,2011-12-13,11.957446429464282,0.75,7.44,12.08,0
21,2011-12-14,12.392775862931034,0.79,4.48,5.92,0
22,2011-12-15,12.307079370634918,0.77,4.71,7.97,0
23,2011-12-16,13.376080141603062,0.88,3.71,4.68,0
24,2011-12-17,13.511967853928558,0.86,3.99,5.35,1
25,2011-12-18,14.732271427500002,0.84,3.6,5.49,1
26,2011-12-19,13.774470971612892,0.94,2.7,6.64,0
27,2011-12-20,12.70910637629179,0.81,4.25,8.26,0
28,2011-12-21,12.148570198567345,0.94,2.9,12.14,0
29,2011-12-22,11.83940326594006,0.87,4.31,12.14,0
30,2011-12-23,12.254989421428565,0.85,4.85,11.44,0
31,2011-12-24,13.065317458994713,0.8,4.46,8.22,1
32,2011-12-25,12.949428567460323,0.83,5.81,11.98,1
33,2011-12-26,11.065576721957667,0.84,5.44,12.91,0
34,2011-12-27,11.494944444444446,0.74,3.54,10.33,0
35,2011-12-28,11.790656326614988,0.77,6.02,11.19,0
36,2011-12-29,12.144920396268665,0.76,6.83,9.58,0
37,2011-12-30,12.40420924890511,0.84,3.71,10.27,0
38,2011-12-31,12.43602189513382,0.89,5.46,12.57,1
39,2012-01-01,12.466265205109485,0.9,4.92,12.59,1
40,2012-01-02,12.754744524330913,0.81,4.81,7.57,0
41,2012-01-03,12.744045453827756,0.82,8.47,12.41,0
42,2012-01-04,12.741140477142864,0.78,7.98,9.33,0
43,2012-01-05,12.848078384560571,0.7,9.49,11.46,0
44,2012-01-06,12.71962175224586,0.78,3.93,9.18,0
45,2012-01-07,12.765459912264154,0.72,5.65,10.34,1
46,2012-01-08,13.39556973593381,0.75,3.56,9.62,1
47,2012-01-09,12.449049410117647,0.84,4.05,12.33,0
48,2012-01-10,11.976153838694634,0.87,3.76,11.29,0
49,2012-01-11,11.981207460606052,0.84,3.98,11.19,0
50,2012-01-12,12.056824884331803,0.81,4.35,12.4,0
51,2012-01-13,12.522756875917418,0.83,1.61,6.41,0
52,2012-01-14,13.49629840683372,0.86,0.99,6.01,1
53,2012-01-15,14.037216394760826,0.78,3.03,6.27,1
54,2012-01-16,13.047807607382563,0.74,2.45,6.56,0
55,2012-01-17,13.267071268819594,0.83,1.43,5.79,0
56,2012-01-18,12.789209252863444,0.93,4.2,11.92,0
57,2012-01-19,12.274760772413801,0.85,5.23,11.51,0
58,2012-01-20,12.783027081041666,0.78,6.18,10.05,0
59,2012-01-21,12.73559432028397,0.75,7.17,12.35,1
60,2012-01-22,13.720799185598375,0.68,5.93,11.8,1
61,2012-01-23,12.614123767583486,0.78,3.89,8.4,0
62,2012-01-24,12.8722519374031,0.95,2.13,9.77,0
63,2012-01-25,12.553495261290326,0.9,3.56,9.76,0
64,2012-01-26,12.37205440619136,0.8,4.51,9.54,0
65,2012-01-27,12.471985347435892,0.78,3.33,8.68,0
66,2012-01-28,13.367956680685936,0.86,2.56,6.46,1
67,2012-01-29,14.127586637184116,0.89,1.62,4.5,1
68,2012-01-30,13.45197883439154,0.79,1.54,3.98,0
69,2012-01-31,13.890518073666088,0.84,2.36,2.13,0
70,2012-02-01,13.814964403220337,0.67,5.45,3.36,1
71,2012-02-02,14.368799337335526,0.59,4.71,1.41,0
72,2012-02-03,14.521274318660293,0.67,2.2,1.54,0
73,2012-02-04,15.154135638643526,0.8,2.13,0.79,1
74,2012-02-05,15.940238171924289,0.96,0.93,1.81,1
75,2012-02-06,14.046691603053421,0.92,0.56,4.08,0
76,2012-02-07,13.882766122638662,0.75,2.66,2.63,0
77,2012-02-08,15.197053412611291,0.78,3.92,0.73,0
78,2012-02-09,14.402453743465495,0.81,0.84,1.79,0
79,2012-02-10,14.607209765229866,0.81,2.13,1.21,0
80,2012-02-11,14.873677149571433,0.78,0.92,1.93,1
81,2012-02-12,15.878634287142841,0.88,1.78,4.84,1
82,2012-02-13,14.305450566525439,0.9,3.23,6.58,0
83,2012-02-14,13.653157079102371,0.76,4.34,8.42,0
84,2012-02-15,13.054147583586216,0.73,5.39,10.61,0
85,2012-02-16,12.593323327012286,0.74,3.42,10.61,0
86,2012-02-17,12.441717391983707,0.84,3.64,11.83,0
87,2012-02-18,12.95464227967479,0.79,5.95,10.76,1
88,2012-02-19,13.755036585230345,0.64,3.81,6.35,1
89,2012-02-20,13.306266581830245,0.7,3.42,8.44,0
