datetime,energy(kWh/hh),scheduling,hour,apparentTemperature,humidity,windSpeed
2012-10-12 11:00:00,0.14300000000000002,0,11,12.59,0.58,6.96
2012-10-12 12:00:00,0.45949999999999996,0,12,13.86,0.53,6.92
2012-10-12 13:00:00,0.177,0,13,13.99,0.53,7.0
2012-10-12 14:00:00,0.14500000000000002,0,14,13.52,0.55,6.63
2012-10-12 15:00:00,0.14400000000000002,0,15,12.69,0.62,6.5
2012-10-12 16:00:00,0.1455,0,16,12.46,0.55,5.98
2012-10-12 17:00:00,0.4235,0,17,11.31,0.62,4.71
2012-10-12 18:00:00,0.21150000000000002,0,18,10.39,0.7,3.7
2012-10-12 19:00:00,0.7064999999999999,0,19,7.66,0.75,3.2
2012-10-12 20:00:00,0.2205,0,20,7.16,0.78,3.12
2012-10-12 21:00:00,0.2675,0,21,7.82,0.78,2.15
2012-10-12 22:00:00,0.2975,0,22,7.12,0.82,2.4
2012-10-12 23:00:00,0.27949999999999997,0,23,7.63,0.81,2.46
2012-10-13 00:00:00,0.266,1,0,7.55,0.84,2.28
2012-10-13 01:00:00,0.2655,1,1,7.34,0.87,1.81
2012-10-13 02:00:00,0.17350000000000002,1,2,6.75,0.89,1.95
2012-10-13 03:00:00,0.14,1,3,6.89,0.93,1.83
2012-10-13 04:00:00,0.13799999999999998,1,4,7.22,0.9,1.38
2012-10-13 05:00:00,0.1375,1,5,7.33,0.93,1.31
2012-10-13 06:00:00,0.14150000000000001,1,6,6.5,0.95,1.29
2012-10-13 07:00:00,0.14150000000000001,1,7,6.47,0.98,1.31
2012-10-13 08:00:00,0.126,1,8,7.84,0.95,0.94
2012-10-13 09:00:00,0.163,1,9,8.36,0.89,1.8
2012-10-13 10:00:00,0.9239999999999999,1,10,10.66,0.79,2.54
2012-10-13 11:00:00,0.13,1,11,10.58,0.77,2.76
2012-10-13 12:00:00,0.10450000000000001,1,12,11.43,0.71,3.15
2012-10-13 13:00:00,0.10450000000000001,1,13,11.38,0.72,3.51
2012-10-13 14:00:00,0.17400000000000002,1,14,11.53,0.67,3.95
2012-10-13 15:00:00,0.1845,1,15,10.11,0.74,3.37
2012-10-13 16:00:00,0.154,1,16,10.27,0.75,3.61
2012-10-13 17:00:00,0.203,1,17,8.22,0.78,3.31
2012-10-13 18:00:00,0.32399999999999995,1,18,7.06,0.77,3.45
2012-10-13 19:00:00,0.598,1,19,5.26,0.87,3.69
2012-10-13 20:00:00,0.253,1,20,4.63,0.91,3.46
2012-10-13 21:00:00,0.2315,1,21,4.31,0.91,3.05
2012-10-13 22:00:00,0.2115,1,22,4.01,0.92,3.29
