datetime,energy(kWh/hh),scheduling,hour,acorn,apparentTemperature,humidity,windSpeed
2012-10-25 10:00:00,0.16,0,10,4,12.51,0.97,5.05
2012-10-25 11:00:00,0.14,0,11,4,12.51,0.93,5.40
2012-10-25 12:00:00,0.11,0,12,4,12.48,0.93,5.70
2012-10-25 13:00:00,0.08,0,13,4,12.91,0.90,5.40
2012-10-25 14:00:00,0.08,0,14,4,12.89,0.86,5.87
2012-10-25 15:00:00,0.14,0,15,4,12.78,0.81,6.23
2012-10-25 16:00:00,0.22,0,16,4,12.29,0.82,5.41
2012-10-25 17:00:00,0.35,0,17,4,12.23,0.82,5.47
2012-10-25 18:00:00,0.37,0,18,4,11.24,0.86,6.30
2012-10-25 19:00:00,0.29,0,19,4,10.60,0.86,5.86
2012-10-25 20:00:00,0.16,0,20,4,10.15,0.82,6.12
2012-10-25 21:00:00,0.16,0,21,4,10.16,0.82,5.68
2012-10-25 22:00:00,0.17,0,22,4,10.09,0.82,5.50
2012-10-25 23:00:00,0.20,0,23,4,10.11,0.79,5.57
2012-10-26 00:00:00,0.07,0,0,4,6.91,0.78,6.01
2012-10-26 01:00:00,0.07,0,1,4,6.99,0.78,5.63
2012-10-26 02:00:00,0.07,0,2,4,6.95,0.76,5.53
2012-10-26 03:00:00,0.07,0,3,4,6.46,0.81,5.14
2012-10-26 04:00:00,0.15,0,4,4,6.26,0.84,5.56
2012-10-26 05:00:00,0.24,0,5,4,5.76,0.84,5.28
2012-10-26 06:00:00,0.23,0,6,4,6.08,0.82,5.56
2012-10-26 07:00:00,0.16,0,7,4,5.61,0.82,5.25
2012-10-26 08:00:00,0.13,0,8,4,5.82,0.82,5.11
2012-10-26 09:00:00,0.10,0,9,4,5.67,0.79,5.12
2012-10-26 10:00:00,0.16,0,10,4,5.59,0.80,4.97
2012-10-26 11:00:00,0.15,0,11,4,5.68,0.81,5.19
2012-10-26 12:00:00,0.14,0,12,4,5.68,0.79,5.06
2012-10-26 13:00:00,0.12,0,13,4,5.78,0.76,4.73
2012-10-26 14:00:00,0.53,0,14,4,6.19,0.72,4.68
2012-10-26 15:00:00,0.67,0,15,4,4.21,0.78,4.99
2012-10-26 16:00:00,0.18,0,16,4,3.61,0.83,5.61
2012-10-26 17:00:00,0.19,0,17,4,4.03,0.79,5.23
2012-10-26 18:00:00,0.17,0,18,4,3.17,0.77,5.49
2012-10-26 19:00:00,0.19,0,19,4,3.03,0.72,5.31
2012-10-26 20:00:00,0.16,0,20,4,1.62,0.78,6.10
2012-10-26 21:00:00,0.21,0,21,4,0.95,0.80,6.37
2012-10-26 22:00:00,0.28,0,22,4,-0.37,0.82,6.62
2012-10-26 23:00:00,0.24,0,23,4,-0.52,0.78,6.41
2012-10-27 00:00:00,0.08,1,0,4,-1.16,0.80,6.23
2012-10-27 01:00:00,0.06,1,1,4,-1.36,0.78,6.49
2012-10-27 02:00:00,0.08,1,2,4,-2.15,0.78,6.97
2012-10-27 03:00:00,0.07,1,3,4,-2.56,0.80,6.63
2012-10-27 04:00:00,0.06,1,4,4,-2.02,0.80,6.70
2012-10-27 05:00:00,0.06,1,5,4,-2.04,0.81,6.45
2012-10-27 06:00:00,0.07,1,6,4,-2.33,0.85,6.21
2012-10-27 07:00:00,0.20,1,7,4,-2.01,0.89,5.56
2012-10-27 08:00:00,0.16,1,8,4,-0.76,0.83,5.63
2012-10-27 09:00:00,0.57,1,9,4,1.05,0.76,6.17
2012-10-27 10:00:00,0.14,1,10,4,2.26,0.67,7.02
2012-10-27 11:00:00,0.21,1,11,4,3.30,0.67,7.46
2012-10-27 12:00:00,0.16,1,12,4,3.78,0.68,7.62
2012-10-27 13:00:00,0.21,1,13,4,3.66,0.74,6.85
2012-10-27 14:00:00,0.14,1,14,4,3.61,0.74,6.77
2012-10-27 15:00:00,1.13,1,15,4,3.51,0.76,5.89
2012-10-27 16:00:00,1.03,1,16,4,2.99,0.74,5.86
2012-10-27 17:00:00,0.29,1,17,4,1.68,0.84,5.11
2012-10-27 18:00:00,0.18,1,18,4,1.76,0.86,4.54
2012-10-27 19:00:00,0.14,1,19,4,1.73,0.89,3.10
2012-10-27 20:00:00,0.15,1,20,4,1.80,0.88,3.40
2012-10-27 21:00:00,0.53,1,21,4,2.07,0.86,3.56
2012-10-27 22:00:00,0.15,1,22,4,2.11,0.84,3.35
2012-10-27 23:00:00,0.07,1,23,4,1.92,0.84,2.70
2012-10-28 00:00:00,0.06,1,0,4,1.78,0.84,2.13
2012-10-28 01:00:00,0.07,1,1,4,0.93,0.89,1.94
2012-10-28 02:00:00,0.09,1,2,4,0.25,0.92,1.69
