datetime,energy(kWh/hh),scheduling,hour,acorn,apparentTemperature,humidity,windSpeed
2012-07-05 00:00:00,0.06,1,0,15,17.36,0.88,1.46
2012-07-05 01:00:00,0.03,1,1,15,16.88,0.90,1.68
2012-07-05 02:00:00,0.03,1,2,15,16.36,0.92,1.93
2012-07-05 03:00:00,0.04,1,3,15,15.86,0.81,1.20
2012-07-05 04:00:00,0.03,1,4,15,15.74,0.81,1.64
2012-07-05 05:00:00,0.04,1,5,15,15.20,0.83,2.01
2012-07-05 06:00:00,0.04,1,6,15,15.35,0.84,2.09
2012-07-05 07:00:00,0.03,1,7,15,16.00,0.77,1.81
2012-07-05 08:00:00,0.04,1,8,15,17.46,0.68,1.44
2012-07-05 09:00:00,0.09,1,9,15,18.59,0.69,0.42
2012-07-05 10:00:00,0.04,1,10,15,19.34,0.66,0.95
2012-07-05 11:00:00,0.04,1,11,15,20.38,0.63,1.13
2012-07-05 12:00:00,0.04,1,12,15,20.88,0.62,2.07
2012-07-05 13:00:00,0.05,1,13,15,21.37,0.64,2.03
2012-07-05 14:00:00,0.07,1,14,15,22.33,0.58,2.66
2012-07-05 15:00:00,0.05,1,15,15,21.88,0.60,3.35
2012-07-05 16:00:00,0.04,1,16,15,22.15,0.55,3.15
2012-07-05 17:00:00,0.09,1,17,15,21.51,0.54,3.34
2012-07-05 18:00:00,0.06,1,18,15,20.20,0.58,3.10
2012-07-05 19:00:00,0.04,1,19,15,19.01,0.64,2.77
2012-07-05 20:00:00,0.05,1,20,15,18.43,0.64,2.28
2012-07-05 21:00:00,0.08,1,21,15,17.76,0.68,2.38
2012-07-05 22:00:00,0.11,1,22,15,17.29,0.72,1.59
2012-07-05 23:00:00,0.03,1,23,15,16.85,0.76,1.54
2012-07-06 00:00:00,0.04,0,0,15,16.79,0.79,1.38
2012-07-06 01:00:00,0.03,0,1,15,16.58,0.81,1.48
2012-07-06 02:00:00,0.04,0,2,15,16.16,0.83,0.91
2012-07-06 03:00:00,0.03,0,3,15,15.69,0.86,0.42
2012-07-06 04:00:00,0.04,0,4,15,15.16,0.91,0.84
2012-07-06 05:00:00,0.04,0,5,15,14.78,0.93,0.80
2012-07-06 06:00:00,0.04,0,6,15,15.24,0.91,1.52
2012-07-06 07:00:00,0.04,0,7,15,15.36,0.90,1.90
2012-07-06 08:00:00,0.03,0,8,15,15.41,0.90,1.81
2012-07-06 09:00:00,0.10,0,9,15,15.21,0.91,2.20
2012-07-06 10:00:00,0.06,0,10,15,16.01,0.85,3.13
2012-07-06 11:00:00,0.03,0,11,15,16.31,0.86,3.26
2012-07-06 12:00:00,0.05,0,12,15,15.44,0.88,3.40
2012-07-06 13:00:00,0.08,0,13,15,16.06,0.87,3.48
2012-07-06 14:00:00,0.07,0,14,15,17.61,0.78,4.20
2012-07-06 15:00:00,0.05,0,15,15,18.70,0.73,3.91
2012-07-06 16:00:00,0.06,0,16,15,18.54,0.73,4.28
2012-07-06 17:00:00,0.06,0,17,15,18.52,0.70,4.16
2012-07-06 18:00:00,0.06,0,18,15,17.89,0.71,3.68
2012-07-06 19:00:00,0.09,0,19,15,16.93,0.74,3.50
2012-07-06 20:00:00,0.07,0,20,15,16.30,0.75,2.96
2012-07-06 21:00:00,0.12,0,21,15,15.17,0.81,2.71
2012-07-06 22:00:00,0.19,0,22,15,14.96,0.84,2.70
2012-07-06 23:00:00,0.05,0,23,15,14.42,0.86,2.19
2012-07-07 00:00:00,0.03,1,0,15,13.96,0.89,2.03
2012-07-07 01:00:00,0.04,1,1,15,13.94,0.89,2.08
2012-07-07 02:00:00,0.04,1,2,15,13.42,0.91,2.22
2012-07-07 03:00:00,0.04,1,3,15,13.52,0.94,2.28
2012-07-07 04:00:00,0.04,1,4,15,13.50,0.94,2.39
2012-07-07 05:00:00,0.04,1,5,15,13.68,0.94,2.66
2012-07-07 06:00:00,0.03,1,6,15,14.36,0.91,3.07
2012-07-07 07:00:00,0.09,1,7,15,15.91,0.82,3.63
2012-07-07 08:00:00,0.04,1,8,15,16.49,0.79,3.60
2012-07-07 09:00:00,0.05,1,9,15,16.89,0.77,4.55
2012-07-07 10:00:00,0.04,1,10,15,17.51,0.79,4.70
2012-07-07 11:00:00,0.06,1,11,15,17.77,0.73,5.32
2012-07-07 12:00:00,0.06,1,12,15,17.91,0.69,4.98
2012-07-07 13:00:00,0.05,1,13,15,17.51,0.74,5.04
2012-07-07 14:00:00,0.02,1,14,15,17.51,0.70,4.14
2012-07-07 15:00:00,0.04,1,15,15,18.65,0.63,4.79
2012-07-07 16:00:00,0.03,1,16,15,17.92,0.65,4.69
2012-07-07 17:00:00,0.03,1,17,15,17.78,0.68,3.73
2012-07-07 18:00:00,0.04,1,18,15,17.22,0.73,3.98
2012-07-07 19:00:00,0.03,1,19,15,16.28,0.80,3.50
2012-07-07 20:00:00,0.06,1,20,15,16.06,0.82,3.20
2012-07-07 21:00:00,0.19,1,21,15,15.18,0.89,2.50
2012-07-07 22:00:00,0.21,1,22,15,14.78,0.93,2.34
2012-07-07 23:00:00,0.11,1,23,15,14.70,0.94,1.93
2012-07-08 00:00:00,0.04,1,0,15,14.74,0.96,1.94
2012-07-08 01:00:00,0.03,1,1,15,14.73,0.96,2.20
2012-07-08 02:00:00,0.03,1,2,15,14.69,0.96,2.44
2012-07-08 03:00:00,0.03,1,3,15,14.28,0.96,1.79
2012-07-08 04:00:00,0.05,1,4,15,14.34,0.99,2.07
2012-07-08 05:00:00,0.05,1,5,15,14.39,0.95,1.73
2012-07-08 06:00:00,0.03,1,6,15,14.73,0.94,1.14
2012-07-08 07:00:00,0.08,1,7,15,15.15,0.94,1.14
2012-07-08 08:00:00,0.03,1,8,15,14.82,0.95,1.38
2012-07-08 09:00:00,0.06,1,9,15,15.36,0.91,1.71
2012-07-08 10:00:00,0.05,1,10,15,15.37,0.93,3.24
2012-07-08 11:00:00,0.03,1,11,15,16.37,0.86,3.50
2012-07-08 12:00:00,0.04,1,12,15,17.18,0.83,3.75
2012-07-08 13:00:00,0.07,1,13,15,18.49,0.73,3.79
2012-07-08 14:00:00,0.07,1,14,15,18.77,0.72,3.47
2012-07-08 15:00:00,0.06,1,15,15,17.99,0.74,3.49
2012-07-08 16:00:00,0.07,1,16,15,17.77,0.79,2.26
2012-07-08 17:00:00,0.12,1,17,15,18.53,0.74,1.41
2012-07-08 18:00:00,0.06,1,18,15,17.18,0.87,0.89
2012-07-08 19:00:00,0.06,1,19,15,16.47,0.89,1.10
2012-07-08 20:00:00,0.10,1,20,15,16.19,0.94,2.28
2012-07-08 21:00:00,0.18,1,21,15,15.18,0.93,2.18
2012-07-08 22:00:00,0.16,1,22,15,15.11,0.94,2.64
2012-07-08 23:00:00,0.03,1,23,15,14.99,0.94,2.49
2012-07-09 00:00:00,0.05,0,0,15,14.83,0.95,3.03
2012-07-09 01:00:00,0.03,0,1,15,14.38,0.95,3.00
2012-07-09 02:00:00,0.04,0,2,15,14.77,0.95,3.36
2012-07-09 03:00:00,0.04,0,3,15,14.82,0.93,3.13
2012-07-09 04:00:00,0.03,0,4,15,14.78,0.93,3.07
2012-07-09 05:00:00,0.04,0,5,15,14.77,0.93,3.21
2012-07-09 06:00:00,0.03,0,6,15,14.88,0.92,3.38
2012-07-09 07:00:00,0.10,0,7,15,15.44,0.89,3.63
2012-07-09 08:00:00,0.03,0,8,15,15.97,0.86,3.85
