,datetime,hour,scheduling,acorn,apparentTemperature,humidity,windSpeed
0,2012-10-12 01:00:00,1,0,1,13.09,0.89,6.77
1,2012-10-12 02:00:00,1,0,1,12.54,0.86,6.46
2,2012-10-12 03:00:00,1,0,1,11.94,0.84,6.37
3,2012-10-12 04:00:00,1,0,1,11.47,0.86,6.63
4,2012-10-12 05:00:00,1,0,1,10.87,0.86,6.55
5,2012-10-12 06:00:00,1,0,1,10.37,0.89,6.11
6,2012-10-12 07:00:00,2,0,1,10.39,0.87,6.71
7,2012-10-12 08:00:00,2,0,1,10.29,0.83,6.59
8,2012-10-12 09:00:00,2,0,1,10.94,0.76,6.75
9,2012-10-12 10:00:00,2,0,1,12.32,0.64,7.15
10,2012-10-12 12:00:00,2,0,1,13.86,0.53,6.92
11,2012-10-12 13:00:00,2,0,1,13.99,0.53,7.0
12,2012-10-12 14:00:00,2,0,1,13.52,0.55,6.63
13,2012-10-12 15:00:00,2,0,1,12.69,0.62,6.5
14,2012-10-12 16:00:00,3,0,1,12.46,0.55,5.98
15,2012-10-12 17:00:00,3,0,1,11.31,0.62,4.71
16,2012-10-12 18:00:00,3,0,1,10.39,0.7,3.7
17,2012-10-12 19:00:00,3,0,1,7.66,0.75,3.2
18,2012-10-12 20:00:00,3,0,1,7.16,0.78,3.12
19,2012-10-12 21:00:00,3,0,1,7.82,0.78,2.15
20,2012-10-12 22:00:00,2,0,1,7.12,0.82,2.4
21,2012-10-12 23:00:00,2,0,1,7.63,0.81,2.46
22,2012-10-13 00:00:00,1,1,1,7.55,0.84,2.28
23,2012-10-13 01:00:00,1,1,1,7.34,0.87,1.81
24,2012-10-13 02:00:00,1,1,1,6.75,0.89,1.95
25,2012-10-13 03:00:00,1,1,1,6.89,0.93,1.83
26,2012-10-13 04:00:00,1,1,1,7.22,0.9,1.38
27,2012-10-13 05:00:00,1,1,1,7.33,0.93,1.31
28,2012-10-13 06:00:00,1,1,1,6.5,0.95,1.29
29,2012-10-13 07:00:00,2,1,1,6.47,0.98,1.31
30,2012-10-13 08:00:00,2,1,1,7.84,0.95,0.94
31,2012-10-13 09:00:00,2,1,1,8.36,0.89,1.8
32,2012-10-13 10:00:00,2,1,1,10.66,0.79,2.54
33,2012-10-13 11:00:00,2,1,1,10.58,0.77,2.76
34,2012-10-13 12:00:00,2,1,1,11.43,0.71,3.15
35,2012-10-13 13:00:00,2,1,1,11.38,0.72,3.51
36,2012-10-13 14:00:00,2,1,1,11.53,0.67,3.95
37,2012-10-13 15:00:00,2,1,1,10.11,0.74,3.37
38,2012-10-13 16:00:00,3,1,1,10.27,0.75,3.61
39,2012-10-13 17:00:00,3,1,1,8.22,0.78,3.31
40,2012-10-13 18:00:00,3,1,1,7.06,0.77,3.45
41,2012-10-13 19:00:00,3,1,1,5.26,0.87,3.69
42,2012-10-13 20:00:00,3,1,1,4.63,0.91,3.46
43,2012-10-13 21:00:00,3,1,1,4.31,0.91,3.05
44,2012-10-13 22:00:00,2,1,1,4.01,0.92,3.29
45,2012-10-13 23:00:00,2,1,1,3.89,0.94,2.62
46,2012-10-14 00:00:00,1,1,1,4.03,0.94,2.14
47,2012-10-14 01:00:00,1,1,1,3.38,0.93,2.19
48,2012-10-14 02:00:00,1,1,1,2.79,0.95,2.19
49,2012-10-14 03:00:00,1,1,1,2.3,0.96,2.03
50,2012-10-14 04:00:00,1,1,1,2.32,0.95,1.54
51,2012-10-14 05:00:00,1,1,1,1.65,0.96,1.9
52,2012-10-14 06:00:00,1,1,1,1.64,0.99,1.47
53,2012-10-14 07:00:00,2,1,1,2.81,0.98,1.24
54,2012-10-14 08:00:00,2,1,1,3.26,0.95,1.52
55,2012-10-14 09:00:00,2,1,1,5.33,0.9,1.99
56,2012-10-14 10:00:00,2,1,1,8.15,0.78,2.52
57,2012-10-14 11:00:00,2,1,1,11.07,0.68,3.12
58,2012-10-14 12:00:00,2,1,1,11.78,0.58,3.7
59,2012-10-14 13:00:00,2,1,1,11.88,0.53,3.97
60,2012-10-14 14:00:00,2,1,1,12.32,0.56,3.96
61,2012-10-14 15:00:00,2,1,1,11.98,0.56,4.11
62,2012-10-14 16:00:00,3,1,1,11.43,0.59,4.26
63,2012-10-14 17:00:00,3,1,1,10.72,0.63,3.41
64,2012-10-14 18:00:00,3,1,1,8.11,0.71,2.98
65,2012-10-14 19:00:00,3,1,1,7.34,0.75,3.06
66,2012-10-14 20:00:00,3,1,1,7.27,0.76,2.87
67,2012-10-14 21:00:00,3,1,1,7.52,0.77,2.65
68,2012-10-14 22:00:00,2,1,1,6.67,0.81,2.45
69,2012-10-14 23:00:00,2,1,1,5.14,0.87,2.3
70,2012-10-15 00:00:00,1,0,1,4.32,0.89,1.96
71,2012-10-15 01:00:00,1,0,1,3.66,0.95,1.53
72,2012-10-15 02:00:00,1,0,1,2.88,0.95,1.7
73,2012-10-15 03:00:00,1,0,1,3.02,0.96,1.43
74,2012-10-15 04:00:00,1,0,1,2.83,0.97,1.62
75,2012-10-15 05:00:00,1,0,1,4.73,0.98,1.27
76,2012-10-15 06:00:00,1,0,1,3.61,0.94,2.13
77,2012-10-15 07:00:00,2,0,1,3.72,0.94,1.94
78,2012-10-15 08:00:00,2,0,1,5.38,0.88,2.59
79,2012-10-15 09:00:00,2,0,1,7.35,0.82,3.37
80,2012-10-15 10:00:00,2,0,1,10.47,0.81,4.56
81,2012-10-15 11:00:00,2,0,1,11.67,0.77,5.32
82,2012-10-15 12:00:00,2,0,1,12.27,0.76,5.59
83,2012-10-15 13:00:00,2,0,1,12.66,0.73,5.84
84,2012-10-15 14:00:00,2,0,1,13.03,0.69,5.53
85,2012-10-15 15:00:00,2,0,1,12.62,0.67,4.6
86,2012-10-15 16:00:00,3,0,1,12.51,0.69,3.53
87,2012-10-15 17:00:00,3,0,1,11.57,0.79,3.25
88,2012-10-15 18:00:00,3,0,1,12.17,0.78,4.09
89,2012-10-15 19:00:00,3,0,1,11.78,0.81,3.68
90,2012-10-15 20:00:00,3,0,1,11.38,0.84,3.38
